Tukwila,Tukwila,47.4749,-122.2727,United States,US,USA,Washington,,20033,1840021120
Yelm,Yelm,46.9398,-122.6261,United States,US,USA,Washington,,16125,1840021146
Olympia,Olympia,47.0417,-122.8958,United States,US,USA,Washington,admin,194532,1840019865
Fife,Fife,47.2327,-122.3519,United States,US,USA,Washington,,10103,1840019853
Port Orchard,Port Orchard,47.516,-122.6616,United States,US,USA,Washington,,13945,1840019821
Bremerton,Bremerton,47.5436,-122.7121,United States,US,USA,Washington,,214549,1840018410
Lake Stevens,Lake Stevens,48.0028,-122.0964,United States,US,USA,Washington,,31679,1840019794
Montesano,Montesano,47.0108,-123.5868,United States,US,USA,Washington,,8385,1840019847
Sequim,Sequim,48.0747,-123.0948,United States,US,USA,Washington,,20330,1840021076
Tacoma,Tacoma,47.2431,-122.4531,United States,US,USA,Washington,,211277,1840021129
Woodinville,Woodinville,47.7568,-122.1479,United States,US,USA,Washington,,12000,1840021121
Ocean Shores,Ocean Shores,46.9686,-124.1521,United States,US,USA,Washington,,5463,1840019849
Moses Lake,Moses Lake,47.1276,-119.2762,United States,US,USA,Washington,,36662,1840019817
Puyallup,Puyallup,47.1794,-122.2901,United States,US,USA,Washington,,40640,1840019859
Sumner,Sumner,47.219,-122.2337,United States,US,USA,Washington,,9969,1840021128
Walla Walla,Walla Walla,46.0678,-118.3364,United States,US,USA,Washington,,56509,1840021174
Bothell,Bothell,47.774,-122.2039,United States,US,USA,Washington,,44546,1840018419
Tumwater,Tumwater,46.9925,-122.9227,United States,US,USA,Washington,,22538,1840021145
Duvall,Duvall,47.7354,-121.9726,United States,US,USA,Washington,,7701,1840018427
Monroe,Monroe,47.8594,-121.9854,United States,US,USA,Washington,,18408,1840019791
Clarkston,Clarkston,46.4154,-117.0501,United States,US,USA,Washington,,7341,1840018499
Gig Harbor,Gig Harbor,47.335,-122.5966,United States,US,USA,Washington,,9110,1840019855
Des Moines,Des Moines,47.3914,-122.3154,United States,US,USA,Washington,,31172,1840018426
Snohomish,Snohomish,47.9277,-122.0971,United States,US,USA,Washington,,9915,1840021078
Richland,Richland,46.2828,-119.2939,United States,US,USA,Washington,,54989,1840019889
Woodland,Woodland,45.9147,-122.7503,United States,US,USA,Washington,,6333,1840021181
Washougal,Washougal,45.5812,-122.3433,United States,US,USA,Washington,,15466,1840021190
Bonney Lake,Bonney Lake,47.1789,-122.1698,United States,US,USA,Washington,,20310,1840018454
Spokane Valley,Spokane Valley,47.6625,-117.2345,United States,US,USA,Washington,,96340,1840021094
Bellevue,Bellevue,47.5953,-122.155,United States,US,USA,Washington,,141400,1840018417
Marysville,Marysville,48.0812,-122.1559,United States,US,USA,Washington,,163547,1840019789
Newcastle,Newcastle,47.5304,-122.1633,United States,US,USA,Washington,,11567,1840019831
North Bend,North Bend,47.4899,-121.7741,United States,US,USA,Washington,,6739,1840019833
Enumclaw,Enumclaw,47.2018,-121.9898,United States,US,USA,Washington,,11654,1840019825
Shelton,Shelton,47.2186,-123.1128,United States,US,USA,Washington,,18981,1840021123
Bellingham,Bellingham,48.7534,-122.4683,United States,US,USA,Washington,,123933,1840018346
Kenmore,Kenmore,47.7531,-122.246,United States,US,USA,Washington,,22357,1840018423
Ellensburg,Ellensburg,47.001,-120.5491,United States,US,USA,Washington,,22847,1840019841
DuPont,DuPont,47.1079,-122.6496,United States,US,USA,Washington,,9497,1840018457
Granite Falls,Granite Falls,48.0874,-121.9705,United States,US,USA,Washington,,6421,1840019787
Milton,Milton,47.2522,-122.3153,United States,US,USA,Washington,,7970,1840019857
Stanwood,Stanwood,48.245,-122.3427,United States,US,USA,Washington,,7073,1840021079
East Wenatchee,East Wenatchee,47.4172,-120.2809,United States,US,USA,Washington,,13968,1840019795
Spokane,Spokane,47.6671,-117.433,United States,US,USA,Washington,,400936,1840021093
Chelan,Chelan,47.8414,-120.026,United States,US,USA,Washington,,6023,1840018369
Camas,Camas,45.6006,-122.4301,United States,US,USA,Washington,,22449,1840018524
Blaine,Blaine,48.9839,-122.7406,United States,US,USA,Washington,,5164,1840018347
Union Gap,Union Gap,46.5569,-120.4937,United States,US,USA,Washington,,6110,1840021152
